NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
data protection authorityabout	0.006493506493506494	swedish	0.0025974025974025974			manage	0.00909090909090909
case	0.00909090909090909					thomson	0.00909090909090909
mail	0.0025974025974025974					content	0.00909090909090909
e	0.0025974025974025974					collection	0.05454545454545454
platonova	0.00909090909090909					question	0.01818181818181818
support service	0.006493506493506494					raise	0.02727272727272727
data processing activity	0.006493506493506494					local	0.1
reply	0.00909090909090909					valid	0.00909090909090909
jurisdiction	0.00909090909090909					committed	0.01818181818181818
conjunction	0.00909090909090909					netherlands	0.00909090909090909
-email-	0.006493506493506494					eu	0.05454545454545454
accord	0.0012987012987012987					locate	0.00909090909090909
contact	0.0025974025974025974					individual	0.00909090909090909
process	0.005194805194805195					lead	0.02727272727272727
individual locate	0.0012987012987012987					policy	0.02727272727272727
personal data	0.0012987012987012987					like	0.00909090909090909
protection regulator	0.0012987012987012987					practice	0.02727272727272727
mention right	0.0012987012987012987					relation	0.00909090909090909
relate complaint	0.0012987012987012987					unresolved	0.00909090909090909
dispute	0.003896103896103896					european	0.045454545454545456
part	0.0012987012987012987					area	0.01818181818181818
protection	0.08961038961038961					economic	0.01818181818181818
member	0.003896103896103896					appropriate	0.02727272727272727
base	0.0012987012987012987					event	0.01818181818181818
protection authority	0.0012987012987012987					carry	0.01818181818181818
lodge complaint	0.0012987012987012987					exercise	0.01818181818181818
customer	0.0025974025974025974					wish	0.03636363636363636
department	0.0025974025974025974					concern	0.06363636363636363
subject	0.005194805194805195					address	0.01818181818181818
state	0.007792207792207792					particular	0.02727272727272727
page	0.0025974025974025974					supervise	0.01818181818181818
support	0.005194805194805195					legal	0.02727272727272727
resolution	0.0025974025974025974					compliance	0.01818181818181818
arbitration	0.0025974025974025974					subject	0.03636363636363636
authorityabout	0.0025974025974025974					person	0.01818181818181818
activity	0.0025974025974025974					natural	0.01818181818181818
						infringe	0.02727272727272727
						section	0.01818181818181818
						11	0.00909090909090909
						set	0.00909090909090909
						request	0.00909090909090909
						support	0.01818181818181818
						include	0.03636363636363636
						arise	0.00909090909090909
						page	0.00909090909090909
						submit	0.02727272727272727
						handling	0.01818181818181818
						regulator	0.045454545454545456
						vii	0.00909090909090909
						think	0.00909090909090909
						especially	0.00909090909090909
						commissioner	0.02727272727272727
						present	0.00909090909090909
						body	0.01818181818181818
						far	0.01818181818181818
						disagree	0.00909090909090909
						identifiable	0.00909090909090909
						authorize	0.00909090909090909
						report	0.00909090909090909
						hear	0.00909090909090909
						handle	0.00909090909090909
						medium	0.00909090909090909
						dedicated	0.00909090909090909
						company	0.01818181818181818
						respect	0.00909090909090909
						supervisor	0.00909090909090909
						remind	0.00909090909090909
						investigate	0.00909090909090909
						berlin	0.00909090909090909
						berliner	0.00909090909090909
						informationsfreiheit	0.00909090909090909
						datenschutz	0.00909090909090909
						und	0.00909090909090909
						beauftragte	0.00909090909090909
						fr	0.00909090909090909
						example	0.00909090909090909
						respond	0.00909090909090909
						alternative	0.00909090909090909
						agree	0.00909090909090909
						uber	0.00909090909090909
						relate	0.02727272727272727
						live	0.00909090909090909
						occur	0.00909090909090909
						comply	0.00909090909090909
						satisfied	0.01818181818181818
						mention	0.00909090909090909
						twitter	0.00909090909090909
						irish	0.00909090909090909
						international	0.00909090909090909
						shield	0.02727272727272727
						arbitration	0.00909090909090909
						dispute	0.00909090909090909
						participation	0.00909090909090909
						independent	0.00909090909090909
						adherence	0.01818181818181818
