NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
erasure	0.033165569750935604	user experience improvement program location access	0.0005161956381468576	lift	0.001548586914440573	request	0.21680216802168023
controller	0.02568073299780617	mi account	0.0006452445476835721	inform	0.009162472577106723	relevant	0.018970189701897018
machine	0.03574654794166989	gdpr article	0.0005161956381468576	apply	0.009549619305716867	review	0.024390243902439025
format	0.03419796102722932	european economic area canada costa rica	0.0005161956381468576	change	0.0429732868757259	correct	0.10478771454381211
hindrance	0.0027100271002710027	discord	0.0006452445476835721	enter	0.004516711833785004	log	0.017163504968383016
data protection authority	0.007742934572202865	company	0.0007742934572202865	store	0.024777390631049168	file	0.008130081300813009
claim	0.006323396567299007	findnow	0.0007742934572202865	terminate	0.0016776358239772875	portability	0.03432700993676603
marketing purpose	0.012775842044134728	services	0.0012904890953671442	exclude	0.0006452445476835721	applicable	0.025293586269196026
personal datum	0.0005161956381468576	legal	0.0007742934572202865	correct delete	0.0019357336430507162	law	0.03342366757000903
justification	0.0009033423667570009	geozilla	0.0006452445476835721	involve	0.0009033423667570009	require	0.01987353206865402
data protection issue	0.0012904890953671442	information commissioner	0.0019357336430507162	oblige	0.0016776358239772875	additionally	0.0027100271002710027
datum subject access request	0.0005161956381468576	office	0.00438766292424829	replace	0.0024519292811975737	ask	0.07768744354110207
reason	0.014969673506258873	healthvault	0.0006452445476835721	email	0.013937282229965157	circumstance	0.036133694670280034
freedom	0.006323396567299007	facebook settings	0.0006452445476835721	believe	0.014969673506258873	stop	0.014453477868112014
interest	0.02981029810298103	instagram	0.0009033423667570009	breach	0.0007742934572202865	complaint	0.08220415537488708
situation	0.014969673506258873	customer center	0.0005161956381468576	manage	0.008646276938959866	lodge	0.05600722673893405
ground	0.026971222093173312	customer support	0.0005161956381468576	export	0.005291005291005291	addition	0.00993676603432701
object	0.015614918053942444	privacy protection department	0.0006452445476835721	send	0.023744999354755453	accordance	0.028906955736224028
data accuracy	0.0006452445476835721	netmarble	0.0009033423667570009	permit	0.004258614014711576	art	0.012646793134598013
request restriction	0.0005161956381468576	yazio	0.0006452445476835721	reside	0.005291005291005291	collection	0.011743450767841012
scenario	0.0009033423667570009	icbc business	0.0005161956381468576	cancel	0.0018066847335140017	access	0.17073170731707318
correction	0.0161311136920893	icbc	0.0011614401858304297	wish	0.022970705897535165	copy	0.06955736224028906
limitation	0.0027100271002710027	icbc mobile banking	0.0006452445476835721	edit	0.013033939863208156	gather	0.0027100271002710027
person	0.007226738934056007	imo	0.0009033423667570009	correct update	0.0012904890953671442	modify	0.02710027100271003
purpose	0.03484320557491289	personal d	0.00038714672861014324	amend	0.009291521486643438	rectification	0.03432700993676603
protection	0.011356304039230868	keeper security	0.0005161956381468576	asus	0.0009033423667570009	removal	0.0027100271002710027
deletion obligation	0.0006452445476835721	customer	0.0010323912762937152	decline	0.0036133694670280035	restriction	0.03523035230352303
